CODI_CAPA,CAPA_GENERICA,NOM_CAPA,EQUIPAMENT,NOM_DISTRICTE,NOM_BARRI,ADRECA
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla dels carrers Rocafort amb Provença,Eixample,la Nova Esquerra de l'Eixample,"C Rocafort, 203"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Villaroel amb carrer Londres,Eixample,l'Antiga Esquerra de l'Eixample,"C Villarroel, 243"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Via Augusta amb carrer de Sant Eusebi,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,"Via Augusta, 103"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla dels carrers Villarroel amb Floridablanca,Eixample,Sant Antoni,"C Villarroel, 17"
P001,Internet i comunicacions,WiFi BCN,Casal de Barri Diagonal Mar,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,"C Selva de Mar, 22*32"
P001,Internet i comunicacions,WiFi BCN,Centre Cívic El Sortidor-Sala Polivalent,Sants-Montjuïc,el Poble Sec,"Pl Sortidor, 12"
P001,Internet i comunicacions,WiFi BCN,Parc de la Ciutadella,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera","Pg Picasso, 21"
P001,Internet i comunicacions,WiFi BCN,Casal de Gent Gran Pedraforca,Nou Barris,Ciutat Meridiana,"C Pedraforca, 16*18"
P001,Internet i comunicacions,WiFi BCN,Biblioteca La Sagrera-Marina Clotet,Sant Andreu,la Sagrera,"C Camp del Ferro, 1*3"
P001,Internet i comunicacions,WiFi BCN,Centre Cívic del Bon Pastor,Sant Andreu,el Bon Pastor,"Pl Robert Gerhard, 3*4"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla dels carrers Calàbria amb carrer Diputació,Eixample,la Nova Esquerra de l'Eixample,"C Calàbria, 117"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Llacuna amb el carrer Pujades,Sant Martí,el Poblenou,"C Llacuna, 59"
P001,Internet i comunicacions,WiFi BCN,Centre Cívic Drassanes,Ciutat Vella,el Raval,"C Nou de la Rambla, 43"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del Passeig de Sant Joan amb Avinguda Diagonal,Eixample,la Dreta de l'Eixample,"Av Diagonal, 374"
P001,Internet i comunicacions,WiFi BCN,Mercat de Les Corts,Les Corts,les Corts,"Trav Corts, 215"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Nàpols amb carrer Casp,Eixample,el Fort Pienc,"C Nàpols, 123"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Lepant amb Aragó,Eixample,la Sagrada Família,"C Lepant, 229"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla de la Gran Via de Carles III amb Masferrer,Les Corts,les Corts,"G.V. Carles III, 74"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Balmes amb Aragó,Eixample,l'Antiga Esquerra de l'Eixample,"C Balmes, 59"
P001,Internet i comunicacions,WiFi BCN,Torre Jussana - Centre de Serveis a les Associacions,Horta-Guinardó,la Clota,"Av Cardenal Vidal Barraquer, 30"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del Pg. de la Bonanova amb carrer de Pomaret,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,"Pg Bonanova, 70"
P001,Internet i comunicacions,WiFi BCN,Centre de Serveis Socials Poble-sec,Sants-Montjuïc,el Poble Sec,"C Roser, 15"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Mont-ral amb carrer Dr. Letamendi,Horta-Guinardó,Horta,"C Mont-ral, 31"
P001,Internet i comunicacions,WiFi BCN,Casal de Barri Verdun,Nou Barris,Verdun,"C Luz Casanova, 4"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Selva de Mar amb Avinguda Diagonal,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,"C Selva de Mar, 43"
P001,Internet i comunicacions,WiFi BCN,Centre Cívic Cotxeres Borrell,Eixample,Sant Antoni,"C Viladomat, 2*8"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer València amb Pau Claris,Eixample,la Dreta de l'Eixample,"C Pau Claris, 148"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Amigó amb Via Augusta,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,"C Amigó, 86"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer del Cigne amb el carrer Gran de Gràcia,Gràcia,la Vila de Gràcia,"C Cigne, 1"
P001,Internet i comunicacions,WiFi BCN,Centre Cívic Besòs,Sant Martí,el Besòs i el Maresme,"Rbla Prim, 87*89"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Còrsega amb carrer Castillejos,Eixample,la Sagrada Família,"C Còrsega, 592"
P001,Internet i comunicacions,WiFi BCN,Espai de Gent Gran Sagrada Família,Eixample,la Sagrada Família,"C Mallorca, 425*433"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Espronceda amb Ramon Turro,Sant Martí,el Poblenou,"C Espronceda, 48"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Via Augusta amb Vergós,Sarrià-Sant Gervasi,les Tres Torres,"Via Augusta, 300"
P001,Internet i comunicacions,WiFi BCN,Parc del Laberint d'Horta,Horta-Guinardó,Montbau,"Pg Castanyers, 1"
P001,Internet i comunicacions,WiFi BCN,Centre Cívic Matas i Ramis,Horta-Guinardó,Horta,"Feliu i Codina, 20"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla de La Rambla amb el carrer Ferran,Ciutat Vella,el Barri Gòtic,"C la Rambla, 62"
P001,Internet i comunicacions,WiFi BCN,Casal de Barri Font d'en Fargues,Horta-Guinardó,la Font d'en Fargues,"C Pedrell, 67*69"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Diputació amb carrer Bailèn,Eixample,la Dreta de l'Eixample,"C Diputació, 324"
P001,Internet i comunicacions,WiFi BCN,Centre d'Informació i Assessorament per a Joves,Ciutat Vella,el Raval,"C Sant Oleguer, 6*8"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla dels carrers Comte Borrell amb carrer Rosselló,Eixample,la Nova Esquerra de l'Eixample,"C Comte Borrell, 244"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla de l'Avinguda del Paral·lel amb Nou de la Rambla,Sants-Montjuïc,el Poble Sec,"Av Paral.lel, 57"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Castillejos amb carrer Mallorca,Eixample,la Sagrada Família,"C Los Castillejos, 254"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla Av. Estatut de Catalunya amb Punt Verd Zona Vall Hebron,Horta-Guinardó,la Vall d'Hebron,"C Jorge Manrique, 2"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla de la Ronda del Guinardó amb Castillejos,Horta-Guinardó,el Baix Guinardó,"Rda Guinardó, 74"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla de la Rambla del Poblenou amb Sancho de Àvila,Sant Martí,el Poblenou,"Rbla Poblenou, 127"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Torre d'en Damians amb c. Consell de Cent,Sants-Montjuïc,Hostafrancs,"C Torre d'en Damians, 8"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Sant Antoni Maria Claret amb carrer Padilla,Eixample,la Sagrada Família,"C Sant Antoni Maria Claret, 180"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Sardenya amb carrer Diputació,Eixample,el Fort Pienc,"C Sardenya, 242"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla dels carrers Entença amb carrer del Consell de Cent,Eixample,la Nova Esquerra de l'Eixample,"C Entença, 87"
